DonorID,DonorName,RecipID,RecipName,dontot,pctgiventopacs,pctgiventoall
30245,Minn Nurses Assn Pol Comm (MNA-PC),40933,Putting Minnesota First,"$10,000.00 ",4.244398762,1.739670852
30245,Minn Nurses Assn Pol Comm (MNA-PC),40790,St Paul Regional Labor Federation AFL-CIO (fka St Pl Trds & Lbr Asmbly PAC),"$10,000.00 ",4.244398762,1.739670852
30245,Minn Nurses Assn Pol Comm (MNA-PC),70026,Take Action PAC,"$4,500.00 ",1.909979443,0.782851883
30245,Minn Nurses Assn Pol Comm (MNA-PC),40954,America Votes - Minnesota,"$2,000.00 ",0.848879752,0.34793417
30245,Minn Nurses Assn Pol Comm (MNA-PC),30608,MN State Bldg & Construction Trades Cncl Pol Fund,"$1,422.63 ",0.603820901,0.247490794
30245,Minn Nurses Assn Pol Comm (MNA-PC),30646,Citizens for Smith,"$1,000.00 ",0.424439876,0.173967085
30245,Minn Nurses Assn Pol Comm (MNA-PC),40295,Friends of DFL Women,$500.00 ,0.212219938,8.70E-02
30255,St Croix Valley Central Labor Union,40790,St Paul Regional Labor Federation AFL-CIO (fka St Pl Trds & Lbr Asmbly PAC),"$3,059.96 ",100,100
30258,RKM&C Fund,30225,TRIAL-PAC,"$30,000.00 ",86.95652174,13.86690535
30258,RKM&C Fund,40268,womenwinning State PAC,"$3,000.00 ",8.695652174,1.386690535
30258,RKM&C Fund,40835,21st Century Democrats,"$1,000.00 ",2.898550725,0.462230178
30258,RKM&C Fund,40295,Friends of DFL Women,$500.00 ,1.449275362,0.231115089
30260,Management Concerned for Public Education,30613,Ewald Political Fund,$250.00 ,55.55555556,3.745318352
30260,Management Concerned for Public Education,40979,Rochester Citizens Coalition,$200.00 ,44.44444444,2.996254682
30270,MAPE-PAC,30025,Minn AFL-CIO,"$25,500.00 ",47.42620761,6.192811511
30270,MAPE-PAC,99999,2010/2012 Funds,"$10,000.00 ",18.59851279,2.428553534
30270,MAPE-PAC,40933,Putting Minnesota First,"$5,250.00 ",9.764219214,1.274990605
30270,MAPE-PAC,30654,Public Safety Matters Campaign,"$5,000.00 ",9.299256394,1.214276767
30270,MAPE-PAC,30608,MN State Bldg & Construction Trades Cncl Pol Fund,"$2,163.50 ",4.023788242,0.525417557
30270,MAPE-PAC,41084,Minneapolis Democrats for Truth,"$2,104.24 ",3.913573455,0.511025949
30270,MAPE-PAC,40954,America Votes - Minnesota,"$1,500.00 ",2.789776918,0.36428303
