DonorID,DonorName,RecipID,RecipName,dontot,pctgiventopacs,pctgiventoall
40404,IBEW Minn State Council PAC,30025,Minn AFL-CIO,"$55,000.00 ",20.8803624,10.19027296
40404,IBEW Minn State Council PAC,80024,Alliance for a Better Minnesota Action Fund,"$20,000.00 ",7.592859053,3.705553804
40404,IBEW Minn State Council PAC,30634,Greater Minnesota Votes,"$11,500.00 ",4.365893955,2.130693438
40404,IBEW Minn State Council PAC,70026,Take Action PAC,"$10,000.00 ",3.796429526,1.852776902
40404,IBEW Minn State Council PAC,30636,TakeAction Political Fund,"$7,500.00 ",2.847322145,1.389582677
40404,IBEW Minn State Council PAC,40944,Alliance for a Better Minnesota,"$5,000.00 ",1.898214763,0.926388451
40404,IBEW Minn State Council PAC,30608,MN State Bldg & Construction Trades Cncl Pol Fund,"$2,655.39 ",1.0081001,0.491984526
40404,IBEW Minn State Council PAC,40872,Rural Minn Preservation,"$2,000.00 ",0.759285905,0.37055538
40404,IBEW Minn State Council PAC,30011,Minneapolis Regional Labor Federation,"$1,500.00 ",0.569464429,0.277916535
40404,IBEW Minn State Council PAC,40295,Friends of DFL Women,"$1,250.00 ",0.474553691,0.231597113
40404,IBEW Minn State Council PAC,30623,Working America Minn Political Committee,"$1,000.00 ",0.379642953,0.18527769
40404,IBEW Minn State Council PAC,40086,Aitkin County DFL Club,$500.00 ,0.189821476,9.26E-02
40404,IBEW Minn State Council PAC,40954,America Votes - Minnesota,$500.00 ,0.189821476,9.26E-02
40417,Hammel Green & Abrahamson Inc PAC,70001,Minn Chamber of Commerce Leadership Fd,$550.00 ,100,25.88235294
40491,D&T Better Government Committee,70005,Minn CPAs Public Affairs Committee,"$17,177.84 ",100,100
