ComID,Committee,ComShort,cat1,cat2,totspend,totspendout,IE,givingtot,topac,todem,torep,toballot,receivedtot,frompac,fromdem,fromrep,fromother
40192,Minn Architects Political Action Comm,,pac,,2900,2900.0,,2900.0,,2100.0,800.0,,500.0,,,,500.0
80026,Minn Assoc of Professional Employees Political Fund,MAPE2,pac,labor,434944.88,216984.9,33984.9,400960.0,217960.0,143000.0,,40000.0,294066.5,,,,294066.5
40751,Minn Bank State PAC,MN Bank,pac,biz,136300,105300.0,,136300.0,31000.0,32350.0,72950.0,,110220.0,,,,110220.0
70004,Minn Business Partnership PAC,MN Bus Partnership,pac,biz,674392.61,349392.6,168192.6,506200.0,325000.0,2250.0,178950.0,,722245.0,25000.0,,10000.0,687245.0
30127,Minn Cable Comm Assoc - PAC,MN Cable Comm,pac,,52745,52745.0,,52745.0,,26995.0,25750.0,,52725.0,,,,52725.0
30553,Minn CAP-PAC,,pac,,4700,4450.0,,4700.0,250.0,2900.0,1550.0,,3925.4,,,,3925.4
70001,Minn Chamber of Commerce Leadership Fd,MN Chamber,pac,biz,580723.57,223523.6,110173.6,470550.0,357200.0,1450.0,111900.0,,859960.0,47279.2,,,812680.8
30111,Minn Chiropractic Political Action Comm,MN Chiropractic,pac,biz,62212.5,61712.5,,62212.5,500.0,40562.5,21150.0,,82219.0,,,,82219.0
70005,Minn CPAs Public Affairs Committee,MN CPAs,pac,biz,187150,187150.0,,187150.0,,91400.0,95750.0,,284406.4,17177.8,,,267228.6
30018,Minn Dental Political Action Committee,MN Dental,pac,,166400.5,162900.5,,166400.5,3500.0,78475.5,84425.0,,9198.0,,,,9198.0
40839,Minn Electrical Assn PAC,,pac,,1800,1800.0,,1800.0,,750.0,1050.0,,3145.0,,,,3145.0
70040,Minn Electrical Industry Pol Action Comm,,pac,,1250,1250.0,,1250.0,,500.0,750.0,,4750.0,,,,4750.0
70054,Minn Emergency Physicians Action Committee,,pac,,1150,1150.0,,1150.0,,950.0,200.0,,7050.0,,,,7050.0
80001,Minn Eye PAC,MN Eye,pac,biz,36920,36920.0,,36920.0,,20020.0,16650.0,,29131.3,,,150.0,28981.3
70038,Minn Farm Bureau PAC,,pac,,1500,1500.0,,1500.0,,,500.0,1000.0,2720.0,,,,2720.0
40561,Minn Farm Credit Services PAC,,pac,,6000,6000.0,,6000.0,,2250.0,3750.0,,3075.0,,,,3075.0
40543,Minn Farmers Union PAC,MN Farmers Union,pac,biz,31925,31925.0,,31925.0,,29400.0,2525.0,,17742.0,,,,17742.0
70043,Minn Funeral Services PAC,,pac,,5900,5900.0,,5900.0,,3700.0,2200.0,,1350.0,,,,1350.0
70053,Minn Green Industry Political Action Committee,,pac,,4000,4000.0,,4000.0,,2000.0,2000.0,,9604.7,,,,9604.7
40714,Minn Hospital PAC,MN Hospital,pac,biz,225832.58,221932.6,12932.6,212900.0,3900.0,121900.0,87100.0,,212533.0,15825.0,,,196708.0
30277,Minn Independent Insurance Agents PAC,,pac,,7250,7250.0,,7250.0,,3000.0,4250.0,,,,,,
40666,Minn Manufactured Home PAC,MN Manufactured Home,pac,,57120,56920.0,,57120.0,200.0,28720.0,28200.0,,59027.0,,,,59027.0
40824,Minn New Democrat Political Action Comm,,pac,,1030.1,1030.1,,1030.1,,1030.1,,,,,,,
70021,Minn NOW PAC,,pac,,416,416.0,,416.0,,416.0,,,250.0,,,,250.0
30245,Minn Nurses Assn Pol Comm (MNA-PC),MN Nurses,pac,labor,862543.98,626939.4,287722.6,574821.4,235604.6,277516.8,1700.0,60000.0,743710.7,,,,743710.7
41019,Minn Open Progressives Political Committee,,pac,,0,0.0,,,,,,,105.0,,,,105.0
30089,Minn Operators of Music and Amusement PF,,pac,,295.04,295.0,,295.0,,295.0,,,,,,,
41090,Minn Organization of Republican Veterans (MORVets),MN Org of Repub Veterans,pac,prorpm,0,0.0,,,,,,,750.0,250.0,,,500.0
80003,Minn PACE,,pac,,5710,5710.0,,5710.0,,5460.0,,250.0,8216.6,,,,8216.6
40562,Minn Physical Therapy PAC,MN Physical Therapy,pac,,43300,43300.0,,43300.0,,29800.0,13500.0,,21776.1,,,,21776.1
30599,Minn Pipe Trades Assn PAC Fund,MN Pipe Trades,pac,labor,76708.66,72007.3,,76708.7,4701.4,60757.3,11250.0,,69877.6,14568.4,,,55309.1
30135,Minn Podiatry PAC,,pac,,1250,1250.0,,1250.0,,350.0,900.0,,,,,,
30288,Minn Police & Peace Officers Assoc Leg Fund,MN Police Officers,pac,labor,46535.25,46085.3,4685.3,41850.0,450.0,30550.0,10850.0,,107080.0,40000.0,,,67080.0
40789,Minn Power PAC,MN Power,pac,,58780,54630.0,,58780.0,4150.0,29255.0,25375.0,,80492.0,,,,80492.0
70044,Minn PRO PAC,,pac,,8300,8300.0,,8300.0,,4200.0,4100.0,,9930.0,,,,9930.0
